Amenity,Count
 Carbon monoxide alarmWifi,1
 Pears body soap,1
 Upfront Cosmetics shampoo,1
 GE stainless steel electric stove,1
 Propane oven,1
 No name body soap,1
  cu ft Solar refrigerator,1
 MicrowaveWifi,1
 Experience Spa Collection conditioner,1
 NA body soap,1
 Experience Spa Collection body soap,1
 First aid kitSmart lock,1
 Lemieux produits naturels  body soap,1
 Private entranceHeating,1
 Laundromat nearbySamsung refrigerator,1
 Free dryer u In unitBarbecue utensils,1
 Party rocker Bluetooth sound system,1
 Tressemer conditioner,1
 Variety shampoo,1
 Car stereo built in sound system,1
 Lemieux produits naturels  shampoo,1
 Experience Spa Collection shampoo,1
 Variety body soap,1
 Shared outdoor pool  heated,1
 MicrowaveOutdoor shower,1
 Kenmore stainless steel oven,1
 Unscented body soap,1
  TVCleaning products,1
 Nature Clean body soap,1
 Dryer u In building,1
 Baking sheetWifi u  Mbps,1
 Window AC unitStandalone high chair  available upon request,1
 Laundromat nearby HDTV with Netflix,1
 Marley Bluetooth sound system,1
 Kenmor single oven,1
 Coffee maker Keurig coffee machineSmart lock,1
 Nature Clean conditioner,1
 Game console Nintendo Wii U,1
 No name shampoo,1
 Samsungconvention oven,1
 Kenmore double oven,1
 JBL Bluetooth sound system,1
 Fragrance free,1
 Nature Clean shampoo,1
 Yamaha sound system with aux,1
 Coffee makerKitchen,1
 Ivory conditioner,1
 Security cameras on propertyDishwasher,1
 Bose surround sound Bluetooth sound system,1
 A variety available,1
 can not guarantee allergen free body soap,1
 No name  conditioner,1
 Amana refrigerator,1
 unscented shampoo,1
 Whirlpool  stainless steel single oven,1
 Ivory  shampoo,1
 Bergman Kelly face and body soap bar body soap,1
 Pantene  shampoo,1
 Variety conditioner,1
 Lemieux produits naturels  conditioner,1
 Stove top  electric stove,1
 Paid parking on premises u  spaces,1
 Private backyard u Not fully fencedOutdoor shower,1
 Dial body soap,1
 First aid kit HDTV with premium cable,1
 Shared gym,1
 Everyone body soap,1
 Whirlpool stainless steel electric stove,1
 Brand refrigerator,1
 Norwex Lysere Nourishing Conditioner conditioner,1
 Laundromat nearbyOne Burner induction stove,1
 Single Top Burner electric stove,1
 Galanz refrigerator,1
 Electric Stovetop Burner two electric stove,1
 First aid kitNinja Toaster Oven oven,1
 ONEKA shampoo,1
 ONEKA body soap,1
 Game console Nintendo Switch,1
 ONEKA conditioner,1
 Garnier Fructis shampoo,1
 First aid kitSamsung stainless steel electric stove,1
 With pump body soap,1
 Medium size fridge Full size fridge in main lodge if needed with frezer refrigerator,1
 Shared gym nearby,1
 With pump conditioner,1
 HDTV with Apple TV,1
